,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
2898,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.48,0.059,0.2,0.057,0.522,0.219,0.157,0.022,0.09,0.854,0.002,0.004,0.169169169,0.381381381,0.289289289,0.16016016,11,10,0.323,0.211,0.128,0.072,0.265,14,19.29,3459,4289,a,320,0.135779449
2899,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.457,0.04,0.184,0.088,0.477,0.186,0.279,0.032,0.002,0.957,0.01,0.004,0.067514677,0.397260274,0.380626223,0.154598826,9,12,0.317,0.1,0.136,0.045,0.309,11,55.08,3040,3150,a,238,0.191166143
2900,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.354,0.111,0.217,0.079,0.502,0.186,0.243,0.015,0.002,0.969,0.01,0.01,0.168346774,0.407258065,0.326612903,0.097782258,10,15,0.304,0.212,0.142,0.053,0.248,11,24.46,4319,5579,b,309,0.170417083
2901,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.415,0.081,0.218,0.08,0.499,0.2,0.175,0.031,0.343,0.605,0.015,0,0.239,0.355,0.291,0.115,9,11,0.317,0.355,0.133,0.108,0.28,13,20.57,8190,23399,b,287,0.183640398
2903,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.546,0.028,0.16,0.069,0.447,0.205,0.201,0.032,0.022,0.911,0.004,0.01,0.133266533,0.341683367,0.348697395,0.176352705,10,10,0.342,0.206,0.096,0.091,0.281,13,51.35,3210,1870,b,265,0.174223309
2904,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.548,0.019,0.168,0.094,0.508,0.25,0.215,0.078,0,0.863,0.015,0.009,0.078313253,0.261044177,0.362449799,0.298192771,8,13,0.309,0.425,0.12,0.079,0.289,12,110.45,4179,539,a,285,0.221190263
2905,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.48,0.069,0.129,0.087,0.475,0.215,0.167,0.013,0.02,0.954,0.013,0,0.127344521,0.303060217,0.399802567,0.169792695,15,10,0.316,0.425,0.094,0.066,0.301,10,51.35,1839,5579,b,152,0.238753478
2906,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.365,0.08,0.264,0.085,0.494,0.23,0.18,0.023,0.368,0.594,0.011,0,0.232931727,0.386546185,0.276104418,0.104417671,11,9,0.393,0.254,0.166,0.14,0.319,13,36.23,8569,2419,a,393,0.11061041
2907,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.462,0.089,0.328,0.174,0.489,0.198,0.241,0.644,0,0.322,0.046,0.016,0.24055666,0.268389662,0.305168986,0.185884692,7,12,0.198,0.186,0.076,0.127,0.217,12,51.22,4179,2419,b,206,0.19338113
2908,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.422,0.093,0.182,0.066,0.486,0.179,0.3,0.004,0.006,0.98,0.003,0,0.080889788,0.329625885,0.365015167,0.224469161,7,5,0.328,0.48,0.129,0.076,0.237,10,44.1,4179,2419,a,222,0.230615887
2910,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.368,0.059,0.289,0.087,0.477,0.24,0.114,0.06,0.231,0.687,0.012,0.017,0.232673267,0.304950495,0.340594059,0.121782178,14,7,0.309,0.192,0.111,0.085,0.277,12,44.1,10399,5200,a,284,0.11382504
2911,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.445,0.054,0.328,0.157,0.497,0.247,0.112,0.302,0.239,0.439,0.018,0,0.221105528,0.313567839,0.275376884,0.189949749,14,6,0.304,0.408,0.102,0.078,0.261,9,19.87,6449,8870,a,304,0.206045462
2912,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.459,0.049,0.321,0.114,0.506,0.215,0.242,0.382,0.002,0.586,0.025,0.004,0.162376238,0.434653465,0.302970297,0.1,6,19,0.229,0.194,0.099,0.076,0.295,9,44.1,959,1940,b,233,0.192640789
2913,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.431,0.07,0.26,0.092,0.467,0.218,0.142,0.028,0.264,0.685,0,0.005,0.231695085,0.442326981,0.229689067,0.096288867,12,11,0.329,0.425,0.142,0.1,0.274,13,27.37,8699,3350,b,318,0.182575174
2914,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.383,0.078,0.253,0.094,0.504,0.214,0.219,0.019,0.009,0.96,0,0.005,0.20951417,0.423076923,0.276315789,0.091093117,12,12,0.299,0.265,0.118,0.091,0.32,10,30.33,3370,5579,a,245,0.122110662
2915,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.821,0.028,0.26,0.119,0.484,0.253,0.143,0.79,0.005,0.177,0.011,0.007,0.31641791,0.339303483,0.192039801,0.152238806,10,7,0.281,0.416,0.097,0.033,0.278,8,42.71,4179,3150,b,321,0.273446048
2916,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Federal/State government-dependent,0.319,0.045,0.27,0.131,0.403,0.184,0.139,0.371,0.112,0.487,0.024,0,0.249255214,0.33366435,0.293942403,0.123138034,11,11,0.292,0.376,0.089,0.086,0.261,10,29.62,5870,3139,b,346,0.202158819
2917,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.513,0.043,0.231,0.098,0.498,0.216,0.231,0.027,0.008,0.941,0.005,0.003,0.097560976,0.386178862,0.361788618,0.154471545,10,14,0.293,0.237,0.116,0.067,0.325,8,66.29,3309,5579,b,290,0.18679614
2918,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.38,0.035,0.339,0.16,0.458,0.201,0.217,0.288,0.034,0.658,0.017,0.006,0.226692836,0.304219823,0.325809617,0.143277723,12,8,0.3,0.408,0.113,0.077,0.284,9,37.99,2999,2999,a,255,0.189852001
2920,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.597,0.036,0.271,0.187,0.468,0.178,0.2,0.102,0,0.868,0.015,0.001,0.118929633,0.414271556,0.279484638,0.187314172,12,9,0.221,0.408,0.068,0.067,0.189,14,44.1,1279,1370,b,172,0.262957326
2921,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.4,0.082,0.185,0.045,0.451,0.199,0.176,0.017,0.013,0.966,0,0.005,0.108717949,0.505641026,0.255384615,0.13025641,9,13,0.377,0.239,0.147,0.071,0.341,13,18.67,1889,2529,a,318,0.174653817
2922,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.382,0.071,0.267,0.087,0.385,0.151,0.143,0.261,0.437,0.272,0,0.008,0.381094527,0.352238806,0.150248756,0.11641791,8,13,0.35,0.48,0.139,0.119,0.275,12,44.1,4230,1180,b,319,0.20690342
2923,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.478,0.051,0.148,0.027,0.505,0.227,0.195,0.027,0.021,0.948,0.003,0.011,0.113545817,0.393426295,0.328685259,0.164342629,11,14,0.316,0.425,0.099,0.096,0.292,13,21.31,2760,1749,a,315,0.195041597
2924,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.383,0.046,0.335,0.143,0.401,0.217,0.111,0.753,0.048,0.192,0.01,0.009,0.406406406,0.269269269,0.219219219,0.105105105,14,7,0.294,0.48,0.089,0.108,0.271,11,17.04,13959,3440,a,281,0.203912072
2925,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.425,0.078,0.296,0.089,0.525,0.24,0.165,0.016,0.29,0.674,0,0.009,0.257028112,0.40060241,0.238955823,0.103413655,12,10,0.337,0.25,0.132,0.132,0.282,12,13.45,5320,4339,a,304,0.11738954
2926,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.555,0.03,0.244,0.142,0.504,0.203,0.252,0.095,0.019,0.86,0.024,0,0.126746507,0.318363273,0.363273453,0.191616766,9,12,0.202,0.376,0.081,0.101,0.22,13,63.66,1839,1250,a,280,0.235818562
2927,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.539,0.05,0.095,0.075,0.5,0.211,0.232,0.018,0,0.966,0.002,0.007,0.094674556,0.354043393,0.34122288,0.210059172,14,18,0.316,0.416,0.1,0.066,0.266,11,29.43,1530,5579,b,273,0.280635992
2928,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.578,0.037,0.112,0.082,0.493,0.224,0.2,0.075,0,0.899,0.005,0.003,0.106573705,0.371513944,0.357569721,0.164342629,10,13,0.333,0.151,0.102,0.059,0.234,13,17.03,1890,2560,a,225,0.226468502
2929,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.461,0.072,0.214,0.062,0.503,0.234,0.185,0.031,0.029,0.932,0.009,0,0.158697864,0.436419125,0.275686673,0.129196338,10,13,0.319,0.229,0.136,0.09,0.295,15,38.06,3689,3070,b,335,0.145962735
2930,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.5,0.033,0.169,0.045,0.51,0.251,0.185,0.011,0.001,0.974,0.006,0.003,0.14242116,0.383519837,0.317395727,0.156663276,12,12,0.314,0.408,0.094,0.075,0.285,13,20.32,7429,2979,a,279,0.193561173
2931,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.421,0.086,0.272,0.108,0.518,0.194,0.195,0.018,0.364,0.61,0.012,0.012,0.17628866,0.362886598,0.329896907,0.130927835,9,9,0.31,0.294,0.132,0.102,0.281,13,19.27,6949,7080,b,203,0.152049848
2932,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.355,0.099,0.245,0.087,0.472,0.239,0.143,0.043,0.295,0.651,0.004,0.001,0.191468254,0.422619048,0.239087302,0.146825397,10,9,0.363,0.192,0.151,0.122,0.312,13,19.96,2570,2430,b,341,0.105421287
2933,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.525,0.027,0.201,0.107,0.5,0.219,0.225,0.057,0,0.911,0.003,0,0.071071071,0.292292292,0.419419419,0.217217217,12,13,0.355,0.376,0.11,0.116,0.273,13,44.1,709,1699,a,264,0.224356374
2934,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.391,0.072,0.243,0.076,0.511,0.222,0.163,0.07,0.01,0.898,0.009,0,0.226600985,0.42955665,0.201970443,0.141871921,11,13,0.312,0.247,0.12,0.089,0.37,14,32.32,4790,1879,b,360,0.114370443
2935,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.522,0.036,0.383,0.189,0.483,0.305,0.115,0.607,0.004,0.382,0.014,0.008,0.319761668,0.305858987,0.221449851,0.152929494,16,6,0.312,0.376,0.089,0.08,0.258,9,30.11,10249,2579,b,268,0.193955871
2936,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.466,0.035,0.312,0.11,0.517,0.245,0.189,0.259,0.075,0.61,0.03,0.009,0.209677419,0.266129032,0.296370968,0.227822581,11,11,0.364,0.425,0.13,0.066,0.368,10,42.71,2860,2900,a,346,0.179813132
2937,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Farm-dependent,0.442,0.054,0.279,0.118,0.423,0.189,0.2,0.401,0.021,0.56,0.026,0.005,0.2004111,0.349434738,0.28057554,0.169578623,9,11,0.26,0.084,0.069,0.094,0.28,12,32.05,5089,1469,b,261,0.141714208
2938,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.394,0.065,0.214,0.055,0.504,0.219,0.178,0.041,0.012,0.944,0,0.003,0.175124378,0.404975124,0.288557214,0.131343284,11,12,0.331,0.306,0.122,0.122,0.329,13,28.61,4890,4799,a,278,0.120549424
2939,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.485,0.089,0.165,0.042,0.494,0.218,0.202,0.01,0.012,0.973,0.011,0.005,0.130391174,0.409227683,0.317953862,0.142427282,10,12,0.313,0.164,0.095,0.098,0.265,12,18.91,3630,2890,b,265,0.158729277
2940,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.43,0.076,0.254,0.087,0.486,0.208,0.227,0.016,0.005,0.955,0.017,0.007,0.228282828,0.447474747,0.247474747,0.076767677,8,13,0.335,0.231,0.115,0.069,0.364,11,47.06,1310,3329,a,322,0.145784014
2941,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.505,0.033,0.255,0.158,0.462,0.193,0.208,0.348,0.044,0.575,0.011,0.008,0.200604839,0.356854839,0.316532258,0.126008065,11,9,0.302,0.425,0.123,0.071,0.317,8,27.46,6409,5579,b,223,0.233518397
2942,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Farm-dependent,0.449,0.041,0.277,0.103,0.43,0.185,0.196,0.421,0.019,0.544,0.032,0.019,0.195247934,0.355371901,0.275826446,0.173553719,9,12,0.28,0.077,0.076,0.095,0.27,12,42.71,4369,1470,a,262,0.143373871
2943,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.375,0.066,0.334,0.149,0.479,0.284,0.125,0.58,0.046,0.352,0.015,0,0.280966767,0.317220544,0.252769386,0.149043303,14,9,0.289,0.282,0.107,0.105,0.305,9,17.97,3570,2589,a,257,0.128368647
2944,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.41,0.061,0.239,0.069,0.515,0.243,0.188,0.023,0.114,0.853,0.002,0.004,0.136454183,0.442231076,0.258964143,0.162350598,10,11,0.349,0.216,0.151,0.092,0.299,12,24.54,1609,8620,a,353,0.114901043
2945,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.586,0.029,0.369,0.249,0.508,0.246,0.222,0.004,0,0.981,0.01,0,0.076305221,0.4437751,0.328313253,0.151606426,13,11,0.234,0.21,0.07,0.086,0.263,11,110.45,3250,5579,a,191,0.18997937
2946,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.448,0.062,0.172,0.053,0.502,0.24,0.162,0.016,0.002,0.961,0.009,0.007,0.164670659,0.484031936,0.23253493,0.118762475,11,11,0.38,0.359,0.145,0.078,0.345,13,17.94,6319,3169,a,284,0.162875321
2947,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.412,0.046,0.28,0.15,0.506,0.221,0.192,0.091,0.018,0.869,0.007,0.01,0.125126135,0.38345106,0.348133199,0.143289606,11,13,0.289,0.376,0.104,0.091,0.28,10,25.5,13519,6749,a,314,0.177604259
2948,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.541,0.058,0.146,0.028,0.486,0.2,0.193,0.053,0.014,0.926,0,0,0.095820591,0.427115189,0.349643221,0.127420999,9,9,0.295,0.416,0.1,0.067,0.278,12,42.71,2900,5880,a,225,0.23308703
2949,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.434,0.05,0.285,0.15,0.515,0.238,0.196,0.129,0.048,0.811,0.02,0.01,0.15065723,0.333670374,0.34479272,0.170879676,10,10,0.28,0.425,0.105,0.075,0.301,10,24.38,5369,2630,b,277,0.177085828
2950,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.44,0.057,0.254,0.115,0.486,0.232,0.186,0.182,0.011,0.783,0.005,0,0.158572844,0.470763132,0.233894945,0.136769078,12,10,0.31,0.436,0.113,0.075,0.291,9,35.3,6439,3270,a,281,0.217961502
2951,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.407,0.075,0.224,0.076,0.514,0.201,0.229,0.02,0.024,0.918,0,0.001,0.187747036,0.450592885,0.236166008,0.125494071,11,16,0.345,0.174,0.148,0.073,0.356,14,34.39,1940,1939,a,370,0.120898439
2952,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Manufacturing-dependent,0.446,0.048,0.208,0.065,0.515,0.223,0.173,0.01,0.015,0.95,0.001,0.004,0.181280788,0.430541872,0.249261084,0.138916256,11,11,0.278,0.309,0.117,0.113,0.309,13,27.43,2640,2060,a,380,0.148435627
